r	n	accum	mflops
14851	101	0.001613	1859.269754
14705	102	0.001616	1856.647103
14563	103	0.001611	1861.816227
14423	104	0.001614	1858.274818
14285	105	0.001609	1864.241623
14150	106	0.001613	1859.931612
14018	107	0.001611	1862.384131
13888	108	0.001606	1867.619629
13761	109	0.001609	1864.594741
13636	110	0.001604	1869.721790
13513	111	0.001604	1870.677635
13392	112	0.001606	1867.782427
13274	113	0.001602	1872.904011
13157	114	0.001605	1869.482548
13043	115	0.001600	1874.844538
12931	116	0.001599	1875.808632
12820	117	0.001602	1872.631027
12711	118	0.001598	1877.653775
12605	119	0.001600	1874.498180
12500	120	0.001596	1879.507293
12396	121	0.001600	1875.135252
12295	122	0.001598	1876.948912
12195	123	0.001594	1882.206570
12096	124	0.001597	1878.811413
12000	125	0.001592	1883.876591
11904	126	0.001592	1884.582064
11811	127	0.001595	1881.232536
11718	128	0.001590	1886.320534
11627	129	0.001593	1882.985895
11538	130	0.001589	1887.941174
11450	131	0.001588	1888.616989
11363	132	0.001591	1885.176280
11278	133	0.001587	1890.144176
11194	134	0.001595	1880.983581
11111	135	0.001586	1891.572707
11029	136	0.001585	1892.355042
10948	137	0.001588	1888.690280
10869	138	0.001584	1893.745265
10791	139	0.001587	1890.278221
10714	140	0.001583	1895.129577
10638	141	0.001582	1895.796522
10563	142	0.001585	1892.274009
10489	143	0.001581	1897.013702
10416	144	0.001581	1897.655423
10344	145	0.001584	1894.192069
10273	146	0.001580	1898.937824
10204	147	0.001583	1895.332580
10135	148	0.001579	1900.269969
10067	149	0.001578	1900.777046
10000	150	0.001581	1897.356792
9933	151	0.001577	1901.997634
9868	152	0.001585	1892.761644
9803	153	0.001576	1903.147340
9740	154	0.001576	1903.613663
9677	155	0.001582	1896.269560
9615	156	0.001575	1904.853825
9554	157	0.001578	1900.855017
9493	158	0.001574	1905.893057
9433	159	0.001574	1906.342030
9375	160	0.001577	1902.735944
9316	161	0.001573	1907.479591
9259	162	0.001576	1903.779044
9202	163	0.001572	1908.476407
9146	164	0.001571	1909.008182
9090	165	0.001574	1905.414650
9036	166	0.001571	1910.066274
8982	167	0.001578	1900.539312
8928	168	0.005288	567.323802
8875	169	0.005307	565.267024
8823	170	0.001573	1907.607742
8771	171	0.001569	1912.361220
8720	172	0.001568	1912.700154
8670	173	0.001571	1909.048734
8620	174	0.001568	1913.688304
8571	175	0.001571	1909.917424
8522	176	0.001567	1914.617373
8474	177	0.001566	1914.990351
8426	178	0.001569	1911.238287
8379	179	0.001566	1915.858089
8333	180	0.001574	1906.205838
8287	181	0.001565	1916.677794
8241	182	0.001565	1916.996633
8196	183	0.001568	1913.247021
8152	184	0.001564	1917.988882
8108	185	0.001564	1918.175918
8064	186	0.001567	1914.487149
8021	187	0.001563	1919.136449
7978	188	0.001566	1915.118100
7936	189	0.001562	1919.878349
7894	190	0.001562	1920.164894
7853	191	0.001565	1916.304307
7812	192	0.001562	1920.993448
7772	193	0.001565	1917.167901
7731	194	0.001561	1921.738389
7692	195	0.001561	1921.899836
7653	196	0.001564	1918.184922
7614	197	0.001565	1917.290869
7575	198	0.001563	1918.608333
7537	199	0.001560	1923.436392
7500	200	0.001559	1923.698426
7462	201	0.001562	1919.909372
7425	202	0.001559	1924.540213
7389	203	0.001562	1920.560048
7352	204	0.001558	1925.176770
7317	205	0.001558	1925.317472
7281	206	0.001561	1921.485960
7246	207	0.001557	1926.185998
7211	208	0.001557	1926.402092
7177	209	0.001560	1922.483809
7142	210	0.001557	1927.093171
7109	211	0.001560	1923.007843
7075	212	0.001556	1927.713631
7042	213	0.001556	1927.859472
7009	214	0.001559	1923.947725
6976	215	0.001560	1923.062868
6944	216	0.001559	1924.609504
6912	217	0.001555	1929.191566
6880	218	0.001555	1929.282951
6849	219	0.001558	1925.248160
6818	220	0.001554	1930.043080
6787	221	0.001558	1925.933963
6756	222	0.001554	1930.572691
6726	223	0.001554	1930.744629
6696	224	0.001557	1926.854491
6666	225	0.001553	1931.463533
6637	226	0.001556	1927.447744
6607	227	0.001553	1931.993286
6578	228	0.001552	1932.248198
6550	229	0.001556	1928.038079
6521	230	0.001552	1932.741976
6493	231	0.001556	1927.519609
6465	232	0.001555	1928.987021
6437	233	0.001551	1933.426750
6410	234	0.001555	1929.497211
6382	235	0.001551	1934.056609
6355	236	0.001551	1934.158050
6329	237	0.001554	1930.146732
6302	238	0.001550	1934.717243
6276	239	0.001554	1930.568650
6250	240	0.001550	1935.225425
6224	241	0.001550	1935.292171
6198	242	0.001553	1931.375667
6172	243	0.001549	1935.921324
6147	244	0.001553	1931.922090
6122	245	0.001549	1936.305091
6097	246	0.001549	1936.617709
6072	247	0.001552	1932.422473
6048	248	0.001549	1937.109647
6024	249	0.001553	1931.712858
6000	250	0.001552	1933.222624
5976	251	0.001550	1935.630232
5952	252	0.002661	1127.218084
5928	253	0.002672	1122.385727
5905	254	0.001547	1938.463944
5882	255	0.001548	1938.427957
5859	256	0.001551	1934.056072
5836	257	0.001547	1938.965680
5813	258	0.001547	1939.188704
5791	259	0.001550	1935.143797
5769	260	0.001547	1939.603503
5747	261	0.001550	1935.357633
5725	262	0.001546	1940.055462
5703	263	0.001551	1934.646669
5681	264	0.001549	1935.993298
5660	265	0.001546	1940.691113
5639	266	0.001549	1936.501031
5617	267	0.001545	1941.096872
5597	268	0.001545	1941.166955
5576	269	0.001549	1937.072496
5555	270	0.001545	1941.680330
5535	271	0.001549	1937.125445
5514	272	0.001545	1941.976667
5494	273	0.001544	1942.222625
5474	274	0.001548	1937.597736
5454	275	0.001544	1942.557996
5434	276	0.001544	1942.736713
5415	277	0.001547	1938.661495
5395	278	0.001544	1943.122774
5376	279	0.001547	1938.769733
5357	280	0.001544	1943.492108
5338	281	0.001548	1937.991126
5319	282	0.001547	1939.452477
5300	283	0.001543	1944.030230
5281	284	0.001546	1939.692260
5263	285	0.001543	1944.366127
5244	286	0.001543	1944.319630
5226	287	0.001546	1940.292985
5208	288	0.001542	1944.916441
5190	289	0.001542	1944.922960
5172	290	0.001546	1940.754380
5154	291	0.001542	1945.326940
5136	292	0.001545	1940.975256
5119	293	0.001542	1945.660662
5102	294	0.001542	1945.817626
5084	295	0.001545	1941.589709
5067	296	0.001541	1946.144159
5050	297	0.001550	1935.817364
5033	298	0.001541	1946.500357
5016	299	0.001541	1946.522621
5000	300	0.001544	1942.401326
4983	301	0.001541	1946.915164
4966	302	0.001544	1942.405166
4950	303	0.001540	1947.226191
4934	304	0.001541	1947.249360
4918	305	0.001544	1943.179750
4901	306	0.001540	1947.657483
4885	307	0.001540	1947.731730
4870	308	0.001544	1943.492108
4854	309	0.001540	1948.156903
4838	310	0.001543	1944.051076
4823	311	0.001540	1948.421080
4807	312	0.001539	1948.466044
4792	313	0.001546	1940.861725
4777	314	0.001539	1948.805430
4761	315	0.001547	1939.226037
4746	316	0.001539	1949.200102
4731	317	0.001539	1949.275810
4716	318	0.001542	1944.899898
4702	319	0.001539	1949.551325
4687	320	0.001539	1949.598795
4672	321	0.001542	1945.370006
4658	322	0.001538	1949.823006
4643	323	0.001542	1945.693514
4629	324	0.001538	1950.250154
4615	325	0.001538	1950.176636
4601	326	0.001541	1946.090630
4587	327	0.001538	1950.627928
4573	328	0.001541	1946.553434
4559	329	0.001538	1950.843627
4545	330	0.001538	1950.497914
4531	331	0.001541	1946.668363
4518	332	0.001537	1951.193369
4504	333	0.001542	1945.615259
4491	334	0.001541	1946.883611
4477	335	0.001537	1951.578620
4464	336	0.001540	1947.296298
4451	337	0.001537	1951.828456
4437	338	0.002661	1127.157803
4424	339	0.002657	1128.720919
4411	340	0.001540	1947.878717
4398	341	0.001536	1952.365052
4385	342	0.001540	1948.229352
4373	343	0.001536	1952.565059
4360	344	0.001536	1952.701819
4347	345	0.001539	1948.376402
4335	346	0.001536	1952.970940
4322	347	0.001540	1947.428289
4310	348	0.001539	1948.766722
4297	349	0.001536	1953.258137
4285	350	0.001539	1949.040977
4273	351	0.001535	1953.567342
4261	352	0.001536	1953.543379
4249	353	0.001539	1949.319413
4237	354	0.001535	1953.843178
4225	355	0.001539	1949.468173
4213	356	0.001535	1954.107092
4201	357	0.001535	1954.103696
4189	358	0.001538	1949.809688
4178	359	0.001535	1954.470884
4166	360	0.001535	1954.552000
4155	361	0.001538	1950.368143
4143	362	0.001534	1954.738145
4132	363	0.001538	1950.228677
4120	364	0.001534	1954.982783
4109	365	0.001539	1949.439878
4098	366	0.001538	1950.697631
4087	367	0.001534	1955.307379
4076	368	0.001538	1951.006578
4065	369	0.001534	1955.469601
4054	370	0.001534	1955.463083
4043	371	0.001537	1951.252288
4032	372	0.001534	1955.808929
4021	373	0.001534	1955.805608
4010	374	0.001537	1951.507052
4000	375	0.001534	1956.023378
3989	376	0.001537	1951.935096
3978	377	0.001533	1956.351758
3968	378	0.001533	1956.254055
3957	379	0.001537	1952.079963
3947	380	0.001533	1956.643261
3937	381	0.001541	1946.710636
3926	382	0.001533	1956.743032
3916	383	0.001533	1956.868286
3906	384	0.001537	1952.252653
3896	385	0.001533	1957.040511
3886	386	0.001533	1956.998113
3875	387	0.001536	1952.865570
3865	388	0.001532	1957.309401
3856	389	0.001536	1952.978291
3846	390	0.001532	1957.548216
3836	391	0.001532	1957.554108
3826	392	0.001536	1953.261096
3816	393	0.001532	1957.844070
3807	394	0.001532	1957.750560
3797	395	0.001532	1958.011146
3787	396	0.001532	1958.065479
3778	397	0.001535	1953.623351
3768	398	0.001532	1958.349629
3759	399	0.001536	1952.615415
3750	400	0.001535	1953.886965
3740	401	0.001531	1958.626634
3731	402	0.001535	1954.240506
3722	403	0.001532	1958.654478
3712	404	0.001531	1958.686823
3703	405	0.001535	1954.405481
3694	406	0.001531	1959.016158
3685	407	0.001531	1958.967091
3676	408	0.001535	1954.704991
3667	409	0.001531	1959.155389
3658	410	0.001535	1954.579339
3649	411	0.001531	1959.341808
3640	412	0.001531	1959.353040
3631	413	0.001539	1949.027243
3623	414	0.001531	1959.669217
3614	415	0.001534	1955.063049
3605	416	0.001530	1959.799849
3597	417	0.001531	1959.703212
3588	418	0.001534	1955.384732
3579	419	0.001530	1960.053929
3571	420	0.001530	1960.072453
3562	421	0.001534	1955.770892
3554	422	0.001530	1960.388029
3546	423	0.001534	1955.790083
3537	424	0.001530	1960.526393
3529	425	0.001530	1960.527365
3521	426	0.001533	1956.666112
3512	427	0.001530	1960.711865
3504	428	0.001533	1956.182234
3496	429	0.001530	1960.831329
3488	430	0.001534	1954.835868
3480	431	0.001533	1956.401368
3472	432	0.001530	1961.077956
3464	433	0.001530	1961.087134
3456	434	0.001533	1956.967446
3448	435	0.001529	1961.314552
3440	436	0.001533	1956.883943
3432	437	0.001529	1961.458332
3424	438	0.001529	1961.453952
3416	439	0.001533	1957.047693
3409	440	0.001529	1961.598719
3401	441	0.001532	1957.420290
3393	442	0.001529	1961.802753
3386	443	0.001534	1956.198059
3378	444	0.001533	1957.319138
3370	445	0.001529	1962.088830
3363	446	0.001529	1961.964086
3355	447	0.001532	1957.483661
3348	448	0.001529	1962.242725
3340	449	0.001532	1958.165410
3333	450	0.001529	1962.350503
3325	451	0.001528	1962.348864
3318	452	0.001532	1957.996200
3311	453	0.001528	1962.662022
3303	454	0.001531	1958.305936
3296	455	0.001528	1962.755957
3289	456	0.001528	1962.712257
3282	457	0.001536	1953.367889
3275	458	0.001528	1962.839591
3267	459	0.001528	1962.858198
3260	460	0.001531	1958.622851
3253	461	0.001528	1963.142792
3246	462	0.001531	1958.690769
3239	463	0.001528	1963.264163
3232	464	0.001528	1963.252380
3225	465	0.001531	1959.191592
3218	466	0.001528	1963.442441
3211	467	0.001527	1963.466930
3205	468	0.001531	1959.246052
3198	469	0.001528	1963.622510
3191	470	0.001531	1959.113561
3184	471	0.001527	1963.811932
3177	472	0.001532	1957.210206
3171	473	0.001531	1959.797498
3164	474	0.001527	1963.996231
3157	475	0.001531	1959.484666
3151	476	0.001527	1964.089546
3144	477	0.001527	1964.022106
3138	478	0.001533	1956.867007
3131	479	0.001527	1964.282066
3125	480	0.001527	1964.341955
3118	481	0.001530	1960.081082
3112	482	0.001527	1964.411040
3105	483	0.001530	1959.935231
3099	484	0.001527	1964.592138
3092	485	0.001532	1958.023697
3086	486	0.001530	1960.310085
3080	487	0.001527	1964.738552
3073	488	0.001530	1960.441445
3067	489	0.001527	1964.839536
3061	490	0.001527	1964.915820
3054	491	0.001530	1960.298925
3048	492	0.001526	1965.097484
3042	493	0.001526	1965.035171
3036	494	0.001530	1960.472490
3030	495	0.001526	1965.223852
3024	496	0.001530	1961.076674
3018	497	0.001526	1965.438485
3012	498	0.001526	1965.298819
3006	499	0.001530	1960.836705
3000	500	0.001526	1965.510532
2994	501	0.001534	1955.390839
2988	502	0.001526	1965.658093
2982	503	0.001526	1965.620067
2976	504	0.001530	1961.256173
2970	505	0.001526	1965.763461
2964	506	0.002029	1478.673715
2958	507	0.002024	1481.963928
2952	508	0.004025	745.180615
2946	509	0.004034	743.504315
2941	510	0.001526	1965.932281
2935	511	0.001529	1961.637941
2929	512	0.001525	1966.128761
2923	513	0.001529	1961.623066
2918	514	0.001526	1966.305989
2912	515	0.001525	1966.351175
2906	516	0.001528	1962.156900
2901	517	0.001525	1966.440564
2895	518	0.001534	1954.890257
2890	519	0.001525	1966.562498
2884	520	0.001525	1966.620638
2879	521	0.001529	1961.685919
2873	522	0.001525	1966.745002
2868	523	0.001531	1959.992970
2862	524	0.001529	1962.228404
2857	525	0.001525	1966.851647
2851	526	0.001528	1962.237142
2846	527	0.001525	1967.013641
2840	528	0.001525	1966.951201
2835	529	0.001528	1962.532069
2830	530	0.001525	1967.178714
2824	531	0.001525	1967.163308
2819	532	0.001528	1962.971156
2814	533	0.001525	1967.219178
2808	534	0.001528	1963.021971
2803	535	0.001524	1967.423996
2798	536	0.001529	1961.115790
2793	537	0.001528	1962.876757
2788	538	0.001525	1967.507370
2782	539	0.001528	1963.235920
2777	540	0.001524	1967.660964
2772	541	0.001524	1967.665073
2767	542	0.001528	1962.980294
2762	543	0.001524	1967.814650
2757	544	0.001524	1967.779392
2752	545	0.001528	1963.143931
2747	546	0.001524	1967.940610
2742	547	0.001528	1963.548246
2737	548	0.001524	1968.049358
2732	549	0.001524	1967.948482
2727	550	0.001528	1963.516827
2722	551	0.001524	1968.159277
2717	552	0.001532	1957.969398
2712	553	0.001524	1968.225929
2707	554	0.001524	1968.241510
2702	555	0.001527	1963.921242
2697	556	0.001524	1968.410282
2692	557	0.001524	1968.293474
2688	558	0.001527	1964.036196
2683	559	0.001524	1968.577254
2678	560	0.001527	1964.011629
2673	561	0.001523	1968.617448
2669	562	0.001524	1968.633951
2664	563	0.001527	1964.300729
2659	564	0.001524	1968.688465
2654	565	0.001523	1968.741917
2650	566	0.001527	1964.299746
2645	567	0.001523	1968.830122
2640	568	0.001531	1958.697441
2636	569	0.001524	1968.962808
2631	570	0.001523	1968.951985
2626	571	0.001526	1964.694498
2622	572	0.001523	1969.192147
2617	573	0.001527	1964.548693
2613	574	0.001523	1969.114874
2608	575	0.001523	1969.311260
2604	576	0.001527	1964.665200
2599	577	0.001523	1969.342757
2595	578	0.001523	1969.267087
2590	579	0.001526	1964.999499
2586	580	0.001523	1969.497915
2581	581	0.001531	1959.287159
2577	582	0.001523	1969.501766
2572	583	0.001523	1969.329452
2568	584	0.001526	1965.133154
2564	585	0.001523	1969.667225
2559	586	0.001523	1969.639237
2555	587	0.001526	1965.407795
2551	588	0.001523	1969.820791
2546	589	0.001526	1965.068655
2542	590	0.001523	1969.909811
2538	591	0.001523	1969.509821
2533	592	0.001526	1965.532247
2529	593	0.001523	1969.980625
2525	594	0.001530	1960.558763
2521	595	0.001523	1970.101638
2516	596	0.001522	1970.130154
2512	597	0.001526	1965.609849
2508	598	0.001522	1970.185487
2504	599	0.001523	1970.151449
2500	600	0.001526	1965.600678
2495	601	0.001522	1970.258782
2491	602	0.001525	1966.040942
2487	603	0.001522	1970.384989
2483	604	0.001522	1970.297062
2479	605	0.001526	1965.871734
2475	606	0.001522	1970.452087
2471	607	0.001526	1966.095630
2467	608	0.001522	1970.566365
2463	609	0.001522	1970.516484
2459	610	0.001530	1960.921195
2454	611	0.001522	1970.759200
2450	612	0.001522	1970.675134
2446	613	0.001525	1966.250834
2442	614	0.001522	1970.840683
2439	615	0.001526	1966.210982
2435	616	0.001522	1970.868473
2431	617	0.001522	1970.917047
2427	618	0.001525	1966.619989
2423	619	0.001522	1970.978783
2419	620	0.001522	1970.902582
2415	621	0.001525	1966.397066
2411	622	0.001522	1971.083869
2407	623	0.001525	1966.554846
2403	624	0.001521	1971.132459
2400	625	0.001527	1964.251924
2396	626	0.001525	1967.084461
2392	627	0.001522	1971.362493
2388	628	0.001525	1966.689923
2384	629	0.001521	1971.307289
2380	630	0.001672	1793.154584
2377	631	0.001563	1918.655663
2373	632	0.001521	1971.479501
2369	633	0.001527	1964.416993
2365	634	0.001560	1922.166493
2362	635	0.001522	1971.564940
2358	636	0.001560	1922.609139
2354	637	0.001521	1971.709644
2351	638	0.001527	1964.889896
2347	639	0.001544	1942.933653
2343	640	0.001530	1959.770032
2340	641	0.001542	1946.019161
2336	642	0.001548	1937.647451
2332	643	0.001529	1961.681513
2329	644	0.001525	1966.427682
2325	645	0.001521	1971.966095
2321	646	0.001526	1965.219260
2318	647	0.001525	1967.428300
2314	648	0.001521	1972.037187
2311	649	0.001525	1967.639353
2307	650	0.001521	1972.141066
2304	651	0.001521	1971.971236
2300	652	0.001524	1967.596845
2297	653	0.001521	1972.201385
2293	654	0.001524	1967.535356
2290	655	0.001521	1972.303984
2286	656	0.001521	1972.317356
2283	657	0.001524	1967.851696
2279	658	0.001521	1972.272639
2276	659	0.001521	1972.397450
2272	660	0.001524	1967.853356
2269	661	0.001521	1972.389604
2265	662	0.001528	1962.159117
2262	663	0.001521	1972.526526
2259	664	0.001521	1972.519730
2255	665	0.001524	1968.195447
2252	666	0.001521	1972.602740
2248	667	0.001520	1972.507013
2245	668	0.001529	1961.743862
2242	669	0.001521	1972.688247
2238	670	0.001529	1961.840241
2235	671	0.001520	1972.770055
2232	672	0.001521	1972.876474
2228	673	0.001524	1968.293474
2225	674	0.001520	1972.905683
2222	675	0.001524	1968.015242
2218	676	0.001520	1972.988924
2215	677	0.001520	1972.961096
2212	678	0.001524	1968.406760
2209	679	0.001520	1973.067348
2205	680	0.005275	568.462178
2202	681	0.005279	568.109949
2199	682	0.001520	1973.085993
2196	683	0.001520	1973.101627
2192	684	0.001523	1968.593427
2189	685	0.001520	1973.297029
2186	686	0.001524	1968.583446
2183	687	0.001520	1973.270370
2180	688	0.001520	1973.245203
2177	689	0.001524	1968.782014
2173	690	0.001520	1973.353795
2170	691	0.001527	1963.737895
2167	692	0.001520	1973.427313
2164	693	0.001520	1973.452224
2161	694	0.001524	1968.765897
2158	695	0.001520	1973.569244
2155	696	0.001520	1973.571760
2152	697	0.001523	1969.492732
2148	698	0.001519	1973.629287
2145	699	0.001523	1968.628877
2142	700	0.001519	1973.664726
2139	701	0.001525	1966.935254
2136	702	0.001523	1969.233679
2133	703	0.001519	1973.704110
2130	704	0.001520	1973.642127
2127	705	0.001523	1969.135393
2124	706	0.001519	1973.854273
2121	707	0.001523	1969.422699
2118	708	0.001519	1973.854273
2115	709	0.001519	1973.843726
2112	710	0.001523	1969.206202
2109	711	0.001519	1973.795040
2106	712	0.001523	1969.594515
2103	713	0.001519	1974.078550
2100	714	0.001519	1973.937547
2097	715	0.001527	1964.126177
2094	716	0.001519	1974.082745
2092	717	0.001520	1974.044638
2089	718	0.001523	1969.437584
2086	719	0.001519	1974.145051
2083	720	0.001523	1969.430855
2080	721	0.001519	1974.215197
2077	722	0.001519	1974.192945
2074	723	0.001522	1969.996190
2071	724	0.001519	1974.305394
2068	725	0.001519	1974.350432
2066	726	0.001523	1969.816777
2063	727	0.001519	1974.465458
2060	728	0.001523	1969.958294
2057	729	0.001519	1974.501586
2054	730	0.001523	1969.166681
2051	731	0.001522	1970.248127
2049	732	0.001519	1974.553662
2046	733	0.001523	1969.918936
2043	734	0.001519	1974.604437
2040	735	0.001519	1974.571824
2038	736	0.001523	1969.975618
2035	737	0.001519	1974.730528
2032	738	0.001519	1974.675544
2029	739	0.001522	1970.354621
2027	740	0.001519	1974.792101
2024	741	0.001522	1970.366672
2021	742	0.001519	1974.811501
2018	743	0.001519	1974.720921
2016	744	0.001523	1970.163252
2013	745	0.001519	1974.856118
2010	746	0.001524	1968.314477
2008	747	0.001522	1970.709532
2005	748	0.001519	1974.929845
2002	749	0.001522	1970.170825
2000	750	0.001519	1974.999144
1997	751	0.001519	1974.848043
1994	752	0.001522	1970.430818
1992	753	0.001519	1975.058561
1989	754	0.001522	1970.715990
1986	755	0.001518	1975.157562
1984	756	0.001519	1975.145808
1981	757	0.001522	1970.508409
1978	758	0.001518	1975.289840
1976	759	0.001523	1969.373150
1973	760	0.001522	1970.598981
1971	761	0.001519	1975.272403
1968	762	0.001522	1970.327158
1965	763	0.001518	1975.342718
1963	764	0.002644	1134.532294
1960	765	0.002643	1134.490977
1958	766	0.001522	1970.515086
1955	767	0.001518	1975.410862
1953	768	0.001519	1975.326592
1950	769	0.001522	1971.053621
1948	770	0.001519	1975.491400
1945	771	0.001526	1964.799625
1943	772	0.001519	1975.538813
1940	773	0.001518	1975.590011
1937	774	0.001521	1970.914239
1935	775	0.001518	1975.596598
1932	776	0.001518	1975.624123
1930	777	0.001522	1971.132487
1928	778	0.001518	1975.614077
1925	779	0.001522	1970.814479
1923	780	0.001518	1975.738281
1920	781	0.001518	1975.639159
1918	782	0.001522	1971.210068
1915	783	0.001518	1975.813678
1913	784	0.001522	1970.377182
1910	785	0.001518	1975.870748
1908	786	0.001518	1975.679594
1905	787	0.001521	1971.092977
1903	788	0.001518	1975.970484
1901	789	0.001518	1975.853286
1898	790	0.001521	1971.244198
1896	791	0.001518	1976.013560
1893	792	0.001521	1971.482166
1891	793	0.001518	1975.967864
1889	794	0.001518	1976.095019
1886	795	0.001521	1971.632073
1884	796	0.001518	1976.102253
1882	797	0.001518	1976.028719
1879	798	0.001521	1971.545274
1877	799	0.001523	1969.291758
1875	800	0.001521	1971.917269
1872	801	0.001518	1976.212520
1870	802	0.001518	1976.111261
1867	803	0.001523	1968.336224
1865	804	0.001517	1976.287867
1863	805	0.001518	1976.169456
1861	806	0.001522	1971.420329
1858	807	0.001517	1976.306560
1856	808	0.001521	1971.906880
1854	809	0.001518	1976.394782
1851	810	0.001517	1976.362373
1849	811	0.001521	1971.672815
1847	812	0.001518	1976.415023
1845	813	0.001526	1966.030584
1842	814	0.001517	1976.557685
1840	815	0.001517	1976.472387
1838	816	0.001521	1972.026510
1835	817	0.001517	1976.574247
1833	818	0.001517	1976.474403
1831	819	0.001521	1971.738557
1829	820	0.001517	1976.709627
1827	821	0.001521	1971.873887
1824	822	0.001517	1976.750901
1822	823	0.001517	1976.620737
1820	824	0.001521	1972.129184
1818	825	0.001518	1976.710701
1815	826	0.001522	1970.400424
1813	827	0.001521	1972.059603
1811	828	0.001517	1976.805778
1809	829	0.001521	1972.104198
1807	830	0.001517	1976.747864
1805	831	0.001518	1976.849085
1802	832	0.001520	1972.397870
1800	833	0.001517	1976.937053
1798	834	0.001521	1972.025323
1796	835	0.001517	1977.006160
1794	836	0.001517	1976.897287
1792	837	0.001521	1972.152736
1789	838	0.001517	1977.013253
1787	839	0.001517	1977.068379
1785	840	0.001520	1972.578086
1783	841	0.001522	1970.991843
1781	842	0.001521	1972.298943
1779	843	0.001517	1977.053634
1777	844	0.001517	1976.993767
1775	845	0.001521	1972.296135
1773	846	0.001517	1977.217858
1770	847	0.001516	1977.205016
1768	848	0.001520	1972.669068
1766	849	0.001517	1977.212396
1764	850	0.002645	1133.802109
1762	851	0.002644	1134.388113
1760	852	0.001517	1977.276458
1758	853	0.001521	1971.808281
1756	854	0.001520	1972.781938
1754	855	0.001517	1977.293044
1752	856	0.001517	1977.255872
1750	857	0.001521	1972.584398
1748	858	0.001517	1977.350799
1746	859	0.001521	1972.577769
1744	860	0.001517	1977.424631
1742	861	0.001517	1977.453636
1740	862	0.001520	1972.937031
1738	863	0.001517	1977.497129
1736	864	0.001525	1966.914383
1734	865	0.001517	1977.518224
1732	866	0.001517	1977.520861
1730	867	0.001521	1972.614522
1728	868	0.001517	1977.510313
1726	869	0.001517	1977.678345
1724	870	0.001520	1973.117413
1722	871	0.001517	1977.727422
1720	872	0.001520	1972.884415
1718	873	0.001517	1977.755404
