n	accum	mflops
1000	0.019688	1904.714402
1010	0.019299	1943.090200
1020	0.034092	1099.958975
1030	0.019847	1889.366527
1040	0.021166	1771.613387
1050	0.021960	1707.610640
1060	0.022547	1663.101800
1070	0.022857	1640.614120
1080	0.024066	1558.186807
1090	0.024622	1522.956990
1100	0.025335	1480.122627
1110	0.025851	1450.569580
1120	0.026995	1389.145769
1130	0.027825	1347.654339
1140	0.028937	1295.895872
1150	0.029524	1270.141142
1160	0.029916	1253.448490
1170	0.029875	1255.191470
1180	0.029752	1260.358970
1190	0.023679	1583.645786
1200	0.031235	1200.565130
1210	0.030328	1236.427592
1220	0.029947	1252.127399
1230	0.029585	1267.455929
1240	0.029699	1262.585373
1250	0.029660	1264.337801
1260	0.029836	1256.780977
1270	0.030155	1243.513120
1280	0.029397	1275.608477
1290	0.029587	1267.363428
1300	0.029555	1268.812745
1310	0.029463	1272.676529
1320	0.029575	1267.907343
1330	0.029802	1258.227481
1340	0.029691	1262.945223
1350	0.029698	1262.619384
1360	0.029565	1268.338700
1370	0.029672	1263.803734
1380	0.029634	1265.335256
1390	0.030004	1249.805402
1400	0.029879	1254.962775
1410	0.029721	1261.654244
1420	0.029646	1264.910215
1430	0.029401	1275.359087
1440	0.029595	1267.030444
1450	0.029641	1265.155208
1460	0.029847	1256.381182
1470	0.029677	1263.596960
1480	0.029558	1268.612187
1490	0.029504	1270.902965
1500	0.029797	1258.522505
1510	0.029524	1270.151477
1520	0.029775	1259.397648
1530	0.033656	1114.141237
1540	0.029864	1255.672526
1550	0.029693	1262.860064
1560	0.029631	1265.530039
1570	0.030075	1246.796052
1580	0.029685	1263.257907
1590	0.029631	1265.532477
1600	0.030213	1241.104764
1610	0.029663	1264.081643
1620	0.029743	1260.808688
1630	0.029398	1275.577217
1640	0.029908	1253.758362
1650	0.030400	1233.464401
1660	0.029791	1258.741639
1670	0.029465	1272.627611
1680	0.029564	1268.352802
1690	0.029849	1256.248583
1700	0.029913	1253.607599
1710	0.029614	1266.172949
1720	0.029666	1264.058478
1730	0.030343	1235.858697
1740	0.029904	1253.912394
1750	0.029422	1274.516402
1760	0.029496	1271.326775
1770	0.029650	1264.747430
1780	0.029623	1265.836126
1790	0.066760	561.664933
1800	0.029553	1268.823139
1810	0.029525	1270.113661
1820	0.029774	1259.466035
1830	0.029487	1271.626980
1840	0.029649	1264.768170
1850	0.033443	1121.298082
1860	0.036687	1022.091175
1870	0.030191	1242.004134
1880	0.029966	1251.360660
1890	0.029657	1264.394962
1900	0.029564	1268.395822
1910	0.029484	1271.771086
1920	0.030012	1249.436426
1930	0.030538	1227.968428
1940	0.029566	1268.234006
1950	0.029537	1269.559661
1960	0.029582	1267.628540
1970	0.029514	1270.480396
1980	0.029859	1255.822800
1990	0.029492	1271.509531
2000	0.029500	1271.180623
2010	0.029466	1272.585139
2020	0.030254	1239.467423
2030	0.029453	1273.156198
2040	0.031248	1200.037365
2050	0.030685	1222.069098
2060	0.029758	1260.019917
2070	0.029489	1271.511405
2080	0.029521	1270.237656
2090	0.029528	1269.921354
2100	0.029717	1261.840269
2110	0.029469	1272.479809
2120	0.029513	1270.578831
2130	0.029550	1268.914159
2140	0.029562	1268.426557
2150	0.029458	1272.876843
2160	0.029540	1269.393727
2170	0.029603	1266.684314
2180	0.029804	1258.068645
2190	0.029434	1273.936866
2200	0.029662	1264.133886
2210	0.029587	1267.415896
2220	0.029857	1255.862478
2230	0.029795	1258.571448
2240	0.029649	1264.710963
2250	0.029726	1261.469020
2260	0.030140	1244.112120
2270	0.029385	1276.031362
2280	0.029672	1263.716211
2290	0.029734	1261.043029
2300	0.031762	1180.635849
2310	0.029679	1263.382913
2320	0.029846	1256.313087
2330	0.029603	1266.724066
2340	0.029756	1260.112218
2350	0.029519	1270.261406
2360	0.029639	1265.092308
2370	0.029555	1268.737089
2380	0.030412	1233.033422
2390	0.029847	1256.375421
2400	0.029670	1263.841892
2410	0.029730	1261.351273
2420	0.029916	1253.365693
2430	0.029451	1273.314322
2440	0.029491	1271.486689
2450	0.029757	1260.216658
2460	0.029959	1251.574134
2470	0.029643	1265.048826
2480	0.029481	1271.921098
2490	0.029605	1266.672164
2500	0.029682	1263.390295
2510	0.029467	1272.610191
2520	0.029542	1269.291504
2530	0.029680	1263.485131
2540	0.029722	1261.540661
2550	0.029521	1270.121340
2560	0.031679	1183.700830
2570	0.029480	1271.919455
2580	0.029591	1267.208384
2590	0.029913	1253.586701
2600	0.029601	1266.745943
2610	0.029455	1272.983395
2620	0.029590	1267.221191
2630	0.029543	1269.296083
2640	0.029461	1272.814074
2650	0.029828	1257.141459
2660	0.029798	1258.314123
2670	0.029369	1276.755790
2680	0.029566	1268.301490
2690	0.029964	1251.461261
2700	0.029784	1258.969050
2710	0.029441	1273.600662
2720	0.030138	1244.201244
2730	0.029590	1267.277592
2740	0.029622	1265.934855
2750	0.029607	1266.571418
2760	0.029593	1267.084800
2770	0.029669	1263.768676
2780	0.029591	1267.163236
2790	0.029456	1273.014996
2800	0.029571	1268.051917
2810	0.029597	1266.891286
2820	0.029815	1257.560006
2830	0.029540	1269.363484
2840	0.029466	1272.641268
2850	0.029611	1266.255960
2860	0.029631	1265.387386
2870	0.029469	1272.502130
2880	0.029527	1269.927066
2890	0.029766	1259.659596
2900	0.133398	281.091122
2910	0.029455	1273.086414
2920	0.029456	1273.036775
2930	0.029516	1270.441486
2940	0.029724	1261.516326
2950	0.029540	1269.299354
2960	0.029721	1261.630045
2970	0.029756	1260.220009
2980	0.029651	1264.510374
2990	0.029641	1264.962188
3000	0.029495	1271.403183
3010	0.029481	1271.973194
3020	0.030269	1238.757093
3030	0.029552	1268.917298
3040	0.029599	1266.785336
3050	0.029759	1260.020608
3060	0.029869	1255.408026
3070	0.104559	358.621865
3080	0.029719	1261.676191
3090	0.029637	1265.106670
3100	0.029857	1255.910484
3110	0.029472	1272.207335
3120	0.029608	1266.404574
3130	0.029636	1265.255996
3140	0.029760	1260.006995
3150	0.029673	1263.690648
3160	0.029551	1268.855484
3170	0.029674	1263.566663
3180	0.029968	1251.270505
3190	0.029364	1276.930462
3200	0.029393	1275.727977
3210	0.030112	1245.314118
3220	0.029674	1263.501270
3230	0.029407	1275.001749
3240	0.032856	1141.323994
3250	0.029674	1263.665744
3260	0.030168	1242.904429
3270	0.029823	1257.210115
3280	0.029518	1270.322273
3290	0.029579	1267.764315
3300	0.029633	1265.310436
3310	0.031236	1200.382323
3320	0.029886	1254.646190
3330	0.030211	1241.146983
3340	0.029751	1260.303898
3350	0.029749	1260.557195
3360	0.029552	1268.855125
3370	0.029540	1269.286014
3380	0.029774	1259.417701
3390	0.029741	1260.675641
3400	0.029762	1259.828212
3410	0.030344	1235.718730
3420	0.029933	1252.703224
3430	0.029571	1268.016049
3440	0.029563	1268.344201
3450	0.029572	1267.902144
3460	0.029590	1267.299940
3470	0.029381	1276.219038
3480	0.029473	1272.131837
3490	0.029560	1268.476420
3500	0.029936	1252.620845
3510	0.029530	1269.696106
3520	0.029550	1268.857763
3530	0.029507	1270.726852
3540	0.030362	1234.951901
3550	0.029678	1263.390361
3560	0.032662	1147.939372
3570	0.030048	1247.984508
3580	0.042724	877.661390
3590	0.029398	1275.384365
3600	0.029521	1270.192957
3610	0.029505	1270.734678
3620	0.029767	1259.636205
3630	0.029517	1270.401117
3640	0.029530	1269.873736
3650	0.029612	1266.152839
3660	0.030129	1244.415479
3670	0.029394	1275.501243
3680	0.029470	1272.449888
3690	0.029662	1264.183461
3700	0.029766	1259.689652
3710	0.029526	1269.856290
3720	0.029876	1255.092109
3730	0.029769	1259.495227
3740	0.029896	1254.244131
3750	0.029693	1262.923198
3760	0.029831	1256.913663
3770	0.029475	1272.162206
3780	0.029761	1259.968458
3790	0.029575	1267.887168
3800	0.029590	1267.268152
3810	0.029513	1270.564796
3820	0.029827	1257.173817
3830	0.029568	1268.113700
3840	0.029713	1261.854870
3850	0.029553	1268.865316
3860	0.029548	1268.999049
3870	0.029923	1252.968663
3880	0.029684	1263.193370
3890	0.029660	1264.328791
3900	0.029653	1264.428959
3910	0.029637	1265.226019
3920	0.029898	1254.204572
3930	0.029673	1263.503129
3940	0.029627	1265.516509
3950	0.029479	1271.874279
3960	0.029557	1268.496385
3970	0.029569	1267.958431
3980	0.030111	1245.372929
3990	0.029766	1259.769694
4000	0.030075	1246.751865
4010	0.029519	1270.140123
4020	0.029676	1263.595419
4030	0.029620	1265.886025
4040	0.029634	1265.430364
4050	0.029559	1268.496947
4060	0.029669	1263.898340
4070	0.029424	1274.246533
4080	0.029517	1270.278226
4090	0.036385	1030.555911
4100	0.029810	1257.922229
4110	0.029439	1273.807002
4120	0.029522	1269.979688
4130	0.029667	1263.761541
4140	0.029759	1259.838667
4150	0.029792	1258.726640
4160	0.029405	1275.218589
4170	0.029521	1270.158072
4180	0.029635	1265.228159
4190	0.029527	1269.757386
4200	0.029677	1263.521727
4210	0.030223	1240.597766
4220	0.029917	1253.421480
4230	0.029544	1269.112866
4240	0.029603	1266.695134
4250	0.029626	1265.545363
4260	0.029804	1258.101584
4270	0.029764	1259.871699
4280	0.029571	1267.889981
4290	0.029697	1262.592257
4300	0.029954	1251.779302
4310	0.029707	1262.220960
4320	0.029529	1269.847677
4330	0.030218	1240.905819
4340	0.029769	1259.637727
4350	0.066921	560.314224
4360	0.029583	1267.471636
4370	0.029612	1266.186644
4380	0.029633	1265.221983
4390	0.029728	1261.395382
4400	0.029572	1267.965433
4410	0.029628	1265.488632
4420	0.029985	1250.601384
4430	0.029456	1272.927225
4440	0.029561	1268.258205
4450	0.029607	1266.463807
4460	0.029694	1262.875632
4470	0.029330	1278.360648
4480	0.029531	1269.751315
4490	0.029625	1265.551372
4500	0.030028	1248.621509
4510	0.029811	1257.800381
4520	0.029489	1271.575380
4530	0.030106	1245.584326
4540	0.029819	1257.279826
4550	0.029400	1275.230288
4560	0.029356	1277.138797
4570	0.029472	1272.141819
4580	0.029789	1258.577976
4590	0.029502	1270.806806
4600	0.031531	1189.267944
4610	0.030130	1244.511581
4620	0.029843	1256.427914
4630	0.029727	1261.282245
4640	0.029557	1268.423524
4650	0.029883	1254.813354
4660	0.030357	1235.113735
4670	0.029685	1262.961260
4680	0.029710	1262.088809
4690	0.029543	1269.043079
4700	0.029698	1262.608627
4710	0.029522	1269.946222
4720	0.029399	1275.413241
4730	0.029449	1273.372334
4740	0.029700	1262.414029
4750	0.030033	1248.512300
4760	0.029816	1257.710627
4770	0.030047	1247.799962
4780	0.029775	1259.274365
4790	0.029707	1262.218657
4800	0.029630	1265.549024
4810	0.029544	1269.259707
4820	0.029582	1267.663430
4830	0.029443	1273.307845
4840	0.029754	1260.028466
4850	0.029542	1269.064744
4860	0.031944	1173.910251
4870	0.030323	1236.642666
4880	0.029520	1270.257755
4890	0.029444	1273.495238
4900	0.029614	1266.104166
4910	0.029700	1262.394138
4920	0.029903	1253.715627
4930	0.029832	1256.955519
4940	0.029805	1258.017747
4950	0.029455	1272.822462
4960	0.029392	1275.770773
4970	0.029428	1274.099145
4980	0.029671	1263.824694
4990	0.030147	1243.731233
5000	0.029474	1272.310387
5010	0.029568	1268.101641
5020	0.029852	1256.172975
5030	0.029496	1271.155284
5040	0.029569	1268.156042
5050	0.029488	1271.401092
5060	0.029697	1262.556969
5070	0.029446	1273.437774
5080	0.029432	1273.795410
5090	0.029705	1262.155712
5100	0.029679	1263.347288
5110	0.029597	1266.923828
5120	0.031755	1180.870783
5130	0.029434	1273.708354
5140	0.029573	1267.760954
5150	0.029525	1269.848151
5160	0.029496	1271.098834
5170	0.029697	1262.506292
5180	0.029679	1263.261472
5190	0.029760	1259.849103
5200	0.030915	1212.747055
5210	0.030133	1244.183564
5220	0.031061	1206.966919
5230	0.029831	1257.049072
5240	0.029709	1262.138605
5250	0.029477	1272.034321
5260	0.029803	1258.042260
5270	0.029436	1273.631591
5280	0.029491	1271.529689
5290	0.029663	1264.045263
5300	0.029809	1257.744918
5310	0.029599	1266.889252
5320	0.029770	1259.496435
5330	0.030196	1241.596480
5340	0.029699	1262.565603
5350	0.029438	1273.607840
5360	0.029615	1266.204366
5370	0.029748	1260.376421
5380	0.029746	1260.636471
5390	0.029696	1262.551060
5400	0.030162	1243.227046
5410	0.029434	1273.749863
5420	0.029780	1259.091042
5430	0.029683	1263.343882
5440	0.029731	1261.041455
5450	0.029597	1266.903649
5460	0.132787	282.400907
5470	0.029521	1269.977056
5480	0.029413	1274.727228
5490	0.029681	1263.306654
5500	0.030440	1231.886757
5510	0.029402	1275.103250
5520	0.029703	1262.220151
5530	0.030298	1237.487745
5540	0.031031	1208.305301
5550	0.030559	1226.999567
5560	0.031328	1196.903630
5570	0.030712	1220.945464
5580	0.030342	1235.843292
5590	0.029601	1266.780927
5600	0.029672	1263.729446
5610	0.029389	1275.878247
5620	0.030078	1246.649703
5630	0.104170	359.947723
5640	0.029409	1274.941452
5650	0.029470	1272.271901
5660	0.029692	1262.706476
5670	0.029788	1258.563231
5680	0.029558	1268.678695
5690	0.029560	1268.487650
5700	0.029628	1265.495567
5710	0.029450	1273.060730
5720	0.029615	1265.878402
5730	0.029442	1273.595422
5740	0.029991	1250.162215
5750	0.029650	1264.403458
5760	0.029515	1270.443765
5770	0.029624	1265.632828
5780	0.029812	1257.498045
5790	0.029566	1268.214198
5800	0.032815	1142.487909
5810	0.030500	1229.451432
5820	0.031530	1189.116194
5830	0.029553	1268.854334
5840	0.029392	1275.613323
5850	0.029522	1270.186183
5860	0.029623	1265.665071
5870	0.029779	1259.201077
5880	0.029869	1255.164879
5890	0.029596	1266.904538
5900	0.029523	1269.812774
5910	0.029419	1274.440142
5920	0.029328	1278.560380
5930	0.030147	1243.574675
5940	0.030376	1234.305787
5950	0.029625	1265.714085
5960	0.029499	1270.834835
5970	0.029748	1260.291281
5980	0.029594	1266.986270
5990	0.029427	1274.241492
6000	0.029644	1265.032550
6010	0.029839	1256.431943
6020	0.029834	1256.702402
6030	0.029443	1273.468172
6040	0.029530	1269.775477
6050	0.029430	1274.145431
6060	0.029691	1262.990315
6070	0.029526	1269.665800
6080	0.029653	1264.253390
6090	0.029642	1264.754711
6100	0.029607	1266.278717
6110	0.029897	1254.017293
6120	0.029685	1262.974026
6130	0.029834	1256.642601
6140	0.043276	866.320199
6150	0.029486	1271.465761
6160	0.029486	1271.448410
6170	0.029635	1265.031369
6180	0.029918	1253.009616
6190	0.029689	1263.078041
6200	0.029823	1257.338760
6210	0.029907	1253.750831
6220	0.029777	1259.147156
6230	0.029530	1269.620081
6240	0.029587	1267.105753
6250	0.029601	1266.846867
6260	0.029692	1262.892968
6270	0.030034	1248.421892
6280	0.029569	1267.920620
6290	0.029723	1261.267826
6300	0.029848	1256.271247
6310	0.029496	1271.148202
6320	0.029618	1265.782423
6330	0.029842	1256.568229
6340	0.029935	1252.528415
6350	0.029534	1269.417796
6360	0.029472	1272.344932
6370	0.029671	1263.637017
6380	0.029507	1270.522483
6390	0.029641	1265.034517
6400	0.029718	1261.555320
6410	0.029543	1269.280379
6420	0.029708	1262.033698
6430	0.029834	1256.966404
6440	0.029607	1266.391814
6450	0.030052	1247.400832
6460	0.030252	1239.378435
6470	0.029956	1251.428201
6480	0.030900	1213.368043
6490	0.029730	1261.345492
6500	0.029704	1262.176415
6510	0.029548	1269.051587
6520	0.029667	1263.684508
6530	0.029978	1250.771782
6540	0.029689	1262.646921
6550	0.029951	1251.803013
6560	0.029698	1262.604253
6570	0.029540	1269.076601
6580	0.029956	1251.581299
6590	0.029577	1267.775117
6600	0.030571	1226.245420
6610	0.029733	1260.956288
6620	0.029956	1251.685547
6630	0.029573	1268.017351
6640	0.029635	1265.020145
6650	0.036339	1031.746556
6660	0.029637	1265.185060
6670	0.029563	1268.429934
6680	0.029621	1265.603618
6690	0.029639	1264.905738
6700	0.029759	1259.907949
6710	0.029635	1265.261697
6720	0.029770	1259.578194
6730	0.029617	1266.165365
6740	0.029681	1263.014008
6750	0.029696	1262.458866
6760	0.029484	1271.589504
6770	0.029429	1273.984784
6780	0.029572	1267.858736
6790	0.029661	1264.092061
6800	0.029758	1260.011569
6810	0.030346	1235.600656
6820	0.029617	1266.053428
6830	0.029559	1268.533982
6840	0.030321	1236.673813
6850	0.029751	1260.362210
6860	0.029701	1262.495195
6870	0.029724	1261.469480
6880	0.029482	1271.844953
6890	0.029899	1254.071762
6900	0.029896	1254.175123
6910	0.066741	561.780722
6920	0.030084	1246.268928
6930	0.029921	1253.011811
6940	0.029699	1262.327599
6950	0.029540	1269.081604
6960	0.029462	1272.391124
6970	0.029458	1272.950456
6980	0.029712	1262.016382
6990	0.029548	1268.944425
7000	0.029661	1264.018214
7010	0.034027	1101.771476
7020	0.030784	1217.751598
7030	0.030662	1222.932985
7040	0.029702	1262.358398
7050	0.029756	1259.974390
7060	0.029829	1256.796644
7070	0.029767	1259.749261
7080	0.029623	1265.756860
7090	0.031103	1205.400535
7100	0.031949	1173.383721
7110	0.029740	1260.879322
7120	0.029603	1266.541348
7130	0.030199	1241.415164
7140	0.030149	1243.789103
7150	0.029392	1275.661674
7160	0.031426	1192.936713
7170	0.030131	1244.536106
7180	0.029653	1264.405842
7190	0.029694	1262.478917
7200	0.029693	1262.838841
7210	0.029612	1266.118639
7220	0.029675	1263.229946
7230	0.029346	1277.683634
7240	0.029374	1276.248935
7250	0.029901	1254.017441
7260	0.030654	1223.009355
7270	0.029768	1259.702872
7280	0.029523	1269.927724
7290	0.029666	1264.063470
7300	0.029987	1250.310762
7310	0.029595	1266.603961
7320	0.029501	1270.914018
7330	0.029637	1264.812545
7340	0.029845	1256.250179
7350	0.029636	1265.363150
7360	0.029595	1266.846902
7370	0.029751	1260.426268
7380	0.029736	1260.787453
7390	0.029486	1271.692611
7400	0.029511	1270.339688
7410	0.029793	1258.497381
7420	0.031404	1193.669747
7430	0.029483	1271.644488
7440	0.029583	1267.530263
7450	0.029588	1267.026672
7460	0.030090	1246.072950
7470	0.029833	1256.961921
7480	0.029503	1270.693645
7490	0.029648	1264.681220
7500	0.029801	1258.339984
7510	0.029468	1272.241279
7520	0.029925	1252.938555
7530	0.030006	1249.724181
7540	0.029962	1251.234960
7550	0.029927	1252.805491
7560	0.029589	1267.271524
7570	0.029472	1271.921620
7580	0.029732	1260.954363
7590	0.030043	1248.021975
7600	0.029429	1274.197058
7610	0.029721	1261.292865
7620	0.031122	1204.633726
7630	0.030028	1248.630983
7640	0.029701	1262.478539
7650	0.029529	1269.433620
7660	0.029681	1263.033824
7670	0.029720	1261.471645
7680	0.032003	1171.588030
7690	0.029578	1267.709727
7700	0.029592	1267.181282
7710	0.029404	1274.856431
7720	0.029520	1269.942617
7730	0.029614	1265.966703
7740	0.029901	1253.891304
7750	0.029518	1270.216427
7760	0.029454	1273.055905
7770	0.029518	1270.333223
7780	0.029675	1263.685694
7790	0.029516	1269.998709
7800	0.030087	1245.954416
7810	0.029683	1262.955332
7820	0.029906	1253.568905
7830	0.029744	1260.439167
7840	0.029506	1270.636642
7850	0.029604	1266.416049
7860	0.029795	1258.357146
7870	0.029882	1254.698214
7880	0.029854	1255.895262
7890	0.029533	1269.549444
7900	0.029769	1259.487331
7910	0.030636	1223.847807
7920	0.030280	1238.202848
7930	0.030093	1245.895549
7940	0.029873	1255.068580
7950	0.029547	1268.887598
7960	0.029528	1269.688174
7970	0.029513	1270.328721
7980	0.029666	1263.746089
7990	0.029458	1272.646769
8000	0.029622	1265.544895
8010	0.029641	1264.698099
8020	0.132733	282.413059
8030	0.029588	1266.853709
8040	0.029490	1271.572850
8050	0.029598	1266.862874
8060	0.029665	1263.943107
8070	0.030386	1233.884447
8080	0.029502	1270.815893
8090	0.029519	1269.979086
8100	0.030349	1235.191674
8110	0.029678	1263.030670
8120	0.029474	1272.260304
8130	0.029461	1272.705852
8140	0.029663	1263.966420
8150	0.030054	1247.410185
8160	0.029812	1257.453238
8170	0.029507	1270.326207
8180	0.029819	1257.474078
8190	0.103462	362.393577
8200	0.030010	1249.280772
8210	0.029571	1267.694554
8220	0.029677	1263.601239
8230	0.029546	1269.083014
8240	0.029520	1270.033033
8250	0.030196	1241.489062
8260	0.030155	1243.050268
8270	0.029516	1270.347234
8280	0.029585	1267.241232
8290	0.029548	1268.709485
8300	0.029741	1260.845250
8310	0.029464	1272.573543
8320	0.029550	1268.674796
8330	0.029576	1267.394126
8340	0.029660	1264.205294
8350	0.029541	1269.141985
8360	0.032787	1143.337896
8370	0.029496	1271.281987
8380	0.029808	1257.807890
8390	0.029546	1268.768320
8400	0.029494	1271.373926
8410	0.030178	1242.372315
8420	0.029873	1254.833058
8430	0.029527	1269.910209
8440	0.030350	1235.253791
8450	0.030347	1235.181420
8460	0.029795	1258.419213
8470	0.029650	1264.344960
8480	0.029525	1270.059196
8490	0.029590	1267.055234
8500	0.029717	1261.393299
8510	0.029479	1271.905134
8520	0.029571	1267.740479
8530	0.030463	1230.949528
8540	0.030064	1247.018629
8550	0.029462	1272.241019
8560	0.029523	1269.971211
8570	0.029535	1269.161160
8580	0.029745	1260.532043
8590	0.029595	1266.666775
8600	0.029480	1271.893186
8610	0.029548	1268.717960
8620	0.029625	1265.728654
8630	0.029633	1265.081354
8640	0.029513	1270.549316
8650	0.029716	1261.582592
8660	0.029806	1258.066820
8670	0.029599	1266.558488
8680	0.030896	1213.677919
8690	0.029927	1252.678284
8700	0.042713	877.877823
8710	0.029275	1280.530622
8720	0.029496	1271.229078
8730	0.029447	1273.006817
8740	0.030336	1235.992499
8750	0.029467	1272.101210
8760	0.029578	1267.609634
8770	0.029517	1269.870943
8780	0.029794	1258.314214
8790	0.029507	1270.809091
8800	0.029674	1263.315862
8810	0.029572	1267.938906
8820	0.029547	1268.637567
8830	0.029642	1264.823662
8840	0.029549	1269.069317
8850	0.029700	1262.236304
8860	0.030301	1237.414976
8870	0.029558	1268.159760
8880	0.029630	1265.300801
8890	0.029675	1263.614267
8900	0.029827	1256.821875
8910	0.029422	1274.339792
8920	0.029453	1273.182950
8930	0.029468	1272.183248
8940	0.030287	1237.968193
8950	0.029420	1274.044260
8960	0.029661	1263.885972
8970	0.029676	1263.467002
8980	0.029578	1267.254832
8990	0.029553	1268.510382
9000	0.029480	1271.825474
9010	0.029580	1267.729589
9020	0.030012	1249.062798
9030	0.029598	1266.732079
9040	0.029765	1259.817251
9050	0.029829	1256.654746
9060	0.029724	1261.286563
9070	0.029928	1252.852847
9080	0.029753	1259.790945
9090	0.029568	1267.829420
9100	0.029670	1263.635770
9110	0.029548	1269.001728
9120	0.029564	1267.885065
9130	0.029549	1268.682576
9140	0.029700	1262.360252
9150	0.029539	1269.394414
9160	0.029569	1267.656278
9170	0.029476	1271.771438
9180	0.029758	1259.885386
9190	0.029418	1274.570795
9200	0.030149	1243.780137
9210	0.036420	1029.231027
9220	0.029689	1262.703657
9230	0.029518	1270.150654
